Oil #1,Oil #2,Oil #3,Outcome
Clear Oil,Black Oil,Black Oil,Acrimony
Clear Oil,Violet Oil,Black Oil,Acuity
Azure Oil,Violet Oil,Black Oil,Adamant
Opalescent Oil,Sepia Oil,Black Oil,Adder's Touch
Opalescent Oil,Indigo Oil,Crimson Oil,Adjacent Animosity
Opalescent Oil,Sepia Oil,Azure Oil,Admonisher
Verdant Oil,Violet Oil,Black Oil,Aggressive Bastion
Clear Oil,Sepia Oil,Sepia Oil,Agility
Clear Oil,Clear Oil,Clear Oil,Alacrity
Amber Oil,Azure Oil,Black Oil,Ambidexterity
Opalescent Oil,Amber Oil,Azure Oil,Amplify
Clear Oil,Sepia Oil,Verdant Oil,Ancestral Knowledge
Clear Oil,Clear Oil,Black Oil,Annihilation
Golden Oil,Golden Oil,Indigo Oil,Anointed Flesh
Golden Oil,Violet Oil,Black Oil,Arcane Capacitor
Silver Oil,Silver Oil,Amber Oil,Arcane Chemistry
Golden Oil,Crimson Oil,Crimson Oil,Arcane Expanse
Verdant Oil,Crimson Oil,Crimson Oil,Arcane Focus
Clear Oil,Teal Oil,Black Oil,Arcane Guarding
Silver Oil,Azure Oil,Black Oil,Arcane Potency
Clear Oil,Silver Oil,Silver Oil,Arcane Sanctuary
Silver Oil,Amber Oil,Amber Oil,Arcane Will
Clear Oil,Crimson Oil,Black Oil,Arcanist's Dominion
Clear Oil,Clear Oil,Silver Oil,Arcing Blows
Verdant Oil,Verdant Oil,Azure Oil,Arsonist
Opalescent Oil,Golden Oil,Sepia Oil,Art of the Gladiator
Sepia Oil,Crimson Oil,Crimson Oil,"Ash, Frost and Storm"
Golden Oil,Golden Oil,Violet Oil,Aspect of Stone
Amber Oil,Verdant Oil,Verdant Oil,Aspect of the Eagle
Violet Oil,Violet Oil,Crimson Oil,Aspect of the Lynx
Opalescent Oil,Golden Oil,Black Oil,Assassination
Clear Oil,Indigo Oil,Black Oil,Assured Strike
Silver Oil,Indigo Oil,Violet Oil,Asylum
Clear Oil,Golden Oil,Sepia Oil,Atrophy
Clear Oil,Opalescent Oil,Opalescent Oil,Avatar of the Hunt
Clear Oil,Silver Oil,Teal Oil,Backstabbing
Opalescent Oil,Azure Oil,Violet Oil,Ballistics
Indigo Oil,Violet Oil,Crimson Oil,Bannerman
Opalescent Oil,Opalescent Oil,Golden Oil,Barbarism
Sepia Oil,Teal Oil,Indigo Oil,Bastion Breaker
Sepia Oil,Verdant Oil,Azure Oil,Battle Rouse
Clear Oil,Clear Oil,Sepia Oil,Beef
Clear Oil,Opalescent Oil,Sepia Oil,Berserking
Opalescent Oil,Verdant Oil,Black Oil,Blacksmith's Clout
Clear Oil,Opalescent Oil,Violet Oil,Blade Barrier
Clear Oil,Silver Oil,Sepia Oil,Blade Master
Silver Oil,Sepia Oil,Azure Oil,Blade of Cunning
Amber Oil,Amber Oil,Crimson Oil,Bladedancer
Clear Oil,Opalescent Oil,Verdant Oil,Blast Radius
Clear Oil,Verdant Oil,Crimson Oil,Blast Waves
Opalescent Oil,Opalescent Oil,Silver Oil,Blood Drinker
Opalescent Oil,Silver Oil,Azure Oil,Blood Siphon
Golden Oil,Amber Oil,Crimson Oil,Bloodless
Silver Oil,Azure Oil,Azure Oil,Bloodletting
Silver Oil,Teal Oil,Crimson Oil,Blunt Trauma
Verdant Oil,Azure Oil,Azure Oil,Bone Breaker
Golden Oil,Violet Oil,Violet Oil,Born to Fight
Indigo Oil,Violet Oil,Black Oil,Brand Equity
Opalescent Oil,Opalescent Oil,Violet Oil,Bravery
Golden Oil,Verdant Oil,Azure Oil,Breath of Flames
Golden Oil,Azure Oil,Violet Oil,Breath of Lightning
Silver Oil,Silver Oil,Teal Oil,Breath of Rime
Clear Oil,Opalescent Oil,Amber Oil,Brinkmanship
Golden Oil,Sepia Oil,Verdant Oil,Brutal Blade
Teal Oil,Indigo Oil,Violet Oil,Burning Brutality
Verdant Oil,Violet Oil,Crimson Oil,Butchery
Teal Oil,Azure Oil,Azure Oil,Cannibalistic Rite
Opalescent Oil,Indigo Oil,Black Oil,Careful Conservationist
Sepia Oil,Black Oil,Black Oil,Carrion
Golden Oil,Teal Oil,Crimson Oil,Champion of the Cause
Opalescent Oil,Golden Oil,Golden Oil,Charisma
Golden Oil,Amber Oil,Amber Oil,Claws of the Falcon
Opalescent Oil,Violet Oil,Black Oil,Claws of the Hawk
Sepia Oil,Azure Oil,Azure Oil,Claws of the Magpie
Clear Oil,Golden Oil,Azure Oil,Cleansed Thoughts
Sepia Oil,Amber Oil,Black Oil,Cleaving
Sepia Oil,Azure Oil,Crimson Oil,Clever Construction
Clear Oil,Verdant Oil,Indigo Oil,Clever Thief
Clear Oil,Clear Oil,Azure Oil,Cloth and Chain
Crimson Oil,Crimson Oil,Crimson Oil,Coldhearted Calculation
Clear Oil,Verdant Oil,Black Oil,Combat Stamina
Opalescent Oil,Amber Oil,Crimson Oil,Command of Steel
Golden Oil,Teal Oil,Violet Oil,Constitution
Amber Oil,Crimson Oil,Black Oil,Coordination
Crimson Oil,Black Oil,Black Oil,Corruption
Clear Oil,Silver Oil,Amber Oil,Counterweight
Azure Oil,Violet Oil,Violet Oil,Courage
Opalescent Oil,Opalescent Oil,Black Oil,Crackling Speed
Silver Oil,Teal Oil,Black Oil,Cruel Preparation
Golden Oil,Golden Oil,Black Oil,Crusader
Silver Oil,Sepia Oil,Black Oil,Crystal Skin
Opalescent Oil,Teal Oil,Violet Oil,Dark Arts
Opalescent Oil,Teal Oil,Teal Oil,Dazzling Strikes
Silver Oil,Sepia Oil,Crimson Oil,Deadly Draw
Golden Oil,Verdant Oil,Black Oil,Deadly Inclinations
Clear Oil,Silver Oil,Crimson Oil,Death Attunement
Sepia Oil,Verdant Oil,Teal Oil,Decay Ward
Opalescent Oil,Teal Oil,Indigo Oil,Deep Breaths
Clear Oil,Verdant Oil,Violet Oil,Deep Thoughts
Sepia Oil,Teal Oil,Teal Oil,Deep Wisdom
Amber Oil,Teal Oil,Black Oil,Defiance
Silver Oil,Amber Oil,Indigo Oil,Deflection
Amber Oil,Verdant Oil,Teal Oil,Depth Perception
Azure Oil,Crimson Oil,Black Oil,Dervish
Opalescent Oil,Sepia Oil,Verdant Oil,Destroyer
Silver Oil,Sepia Oil,Amber Oil,Destructive Apparatus
Silver Oil,Teal Oil,Teal Oil,Devastating Devices
Silver Oil,Crimson Oil,Crimson Oil,Devotion
Opalescent Oil,Sepia Oil,Teal Oil,Diamond Skin
Opalescent Oil,Azure Oil,Crimson Oil,Dire Torment
Opalescent Oil,Golden Oil,Amber Oil,Dirty Techniques
Black Oil,Black Oil,Black Oil,Disciple of the Forbidden
Golden Oil,Amber Oil,Verdant Oil,Disciple of the Slaughter
Opalescent Oil,Violet Oil,Crimson Oil,Disciple of the Unyielding
Silver Oil,Silver Oil,Black Oil,Discipline and Training
Amber Oil,Teal Oil,Azure Oil,Discord Artisan
Golden Oil,Verdant Oil,Violet Oil,Disemboweling
Violet Oil,Black Oil,Black Oil,Disintegration
Opalescent Oil,Golden Oil,Violet Oil,Dismembering
Verdant Oil,Teal Oil,Indigo Oil,Divine Fervour
Amber Oil,Amber Oil,Black Oil,Divine Fury
Sepia Oil,Teal Oil,Black Oil,Divine Judgement
Opalescent Oil,Amber Oil,Amber Oil,Divine Wrath
Golden Oil,Amber Oil,Azure Oil,Doom Cast
Sepia Oil,Teal Oil,Azure Oil,Dreamer
Clear Oil,Golden Oil,Crimson Oil,Druidic Rite
Clear Oil,Sepia Oil,Azure Oil,Dynamo
Clear Oil,Clear Oil,Opalescent Oil,Eagle Eye
Sepia Oil,Teal Oil,Violet Oil,Efficient Explosives
Teal Oil,Teal Oil,Violet Oil,Elder Power
Sepia Oil,Amber Oil,Azure Oil,Elemental Focus
Clear Oil,Golden Oil,Black Oil,Endurance
Clear Oil,Golden Oil,Verdant Oil,Enduring Bond
Violet Oil,Violet Oil,Violet Oil,Enigmatic Defence
Verdant Oil,Teal Oil,Black Oil,Enigmatic Reach
Sepia Oil,Azure Oil,Violet Oil,Entrench
Sepia Oil,Amber Oil,Crimson Oil,Entropy
Crimson Oil,Crimson Oil,Black Oil,Essence Extraction
Clear Oil,Amber Oil,Verdant Oil,Essence Infusion
Teal Oil,Violet Oil,Black Oil,Essence Sap
Silver Oil,Golden Oil,Teal Oil,Essence Surge
Silver Oil,Golden Oil,Amber Oil,Ethereal Feast
Clear Oil,Amber Oil,Black Oil,Exceptional Performance
Amber Oil,Verdant Oil,Azure Oil,Executioner
Clear Oil,Azure Oil,Violet Oil,Expeditious Munitions
Sepia Oil,Sepia Oil,Sepia Oil,Expertise
Silver Oil,Amber Oil,Crimson Oil,Explosive Elements
Opalescent Oil,Verdant Oil,Azure Oil,Explosive Impact
Amber Oil,Azure Oil,Azure Oil,Explosive Runes
Golden Oil,Sepia Oil,Black Oil,Faith and Steel
Silver Oil,Sepia Oil,Sepia Oil,Fangs of Frost
Clear Oil,Teal Oil,Azure Oil,Fangs of the Viper
Verdant Oil,Verdant Oil,Crimson Oil,Farsight
Opalescent Oil,Opalescent Oil,Amber Oil,Fatal Blade
Clear Oil,Silver Oil,Violet Oil,Fatal Toxins
Teal Oil,Azure Oil,Crimson Oil,Fearsome Force
Opalescent Oil,Amber Oil,Black Oil,Feller of Foes
Sepia Oil,Sepia Oil,Verdant Oil,Fending
Silver Oil,Amber Oil,Black Oil,Fervour
Indigo Oil,Crimson Oil,Black Oil,Field Medicine
Teal Oil,Azure Oil,Black Oil,Finesse
Golden Oil,Violet Oil,Crimson Oil,Fingers of Frost
Violet Oil,Crimson Oil,Black Oil,Fire Walker
Verdant Oil,Azure Oil,Crimson Oil,Flash Freeze
Clear Oil,Violet Oil,Crimson Oil,Flaying
Opalescent Oil,Sepia Oil,Amber Oil,Fleetfoot
Clear Oil,Silver Oil,Indigo Oil,Force Shaper
Verdant Oil,Azure Oil,Violet Oil,Forceful Skewering
Silver Oil,Verdant Oil,Azure Oil,Forces of Nature
Opalescent Oil,Golden Oil,Verdant Oil,Foresight
Teal Oil,Indigo Oil,Black Oil,Forethought
Clear Oil,Sepia Oil,Violet Oil,Freedom of Movement
Silver Oil,Silver Oil,Azure Oil,Frenetic
Clear Oil,Azure Oil,Crimson Oil,From the Shadows
Opalescent Oil,Verdant Oil,Violet Oil,Frost Walker
Verdant Oil,Verdant Oil,Teal Oil,Fury Bolts
Sepia Oil,Verdant Oil,Verdant Oil,Fusillade
Clear Oil,Sepia Oil,Crimson Oil,Galvanic Hammer
Silver Oil,Teal Oil,Azure Oil,Gladiator's Perseverance
Silver Oil,Golden Oil,Azure Oil,Golem Commander
Golden Oil,Golden Oil,Teal Oil,Golem's Blood
Golden Oil,Sepia Oil,Amber Oil,Goliath
Violet Oil,Violet Oil,Black Oil,Graceful Assault
Sepia Oil,Violet Oil,Violet Oil,Grave Intentions
Azure Oil,Black Oil,Black Oil,Gravepact
Clear Oil,Golden Oil,Teal Oil,Growth and Decay
Sepia Oil,Amber Oil,Amber Oil,Hard Knocks
Clear Oil,Teal Oil,Violet Oil,Hardened Scars
Teal Oil,Indigo Oil,Crimson Oil,Harpooner
Azure Oil,Crimson Oil,Crimson Oil,Harrier
Clear Oil,Amber Oil,Indigo Oil,Harvester of Foes
Amber Oil,Amber Oil,Azure Oil,Hasty Reconstruction
Verdant Oil,Teal Oil,Crimson Oil,Hatchet Master
Golden Oil,Sepia Oil,Crimson Oil,Heart and Soul
Opalescent Oil,Azure Oil,Azure Oil,Heart of Darkness
Golden Oil,Teal Oil,Azure Oil,Heart of Flame
Opalescent Oil,Golden Oil,Crimson Oil,Heart of Ice
Golden Oil,Verdant Oil,Crimson Oil,Heart of Oak
Silver Oil,Golden Oil,Violet Oil,Heart of the Warrior
Golden Oil,Sepia Oil,Azure Oil,Heart of Thunder
Teal Oil,Crimson Oil,Crimson Oil,Heartseeker
Opalescent Oil,Silver Oil,Verdant Oil,Hearty
Sepia Oil,Verdant Oil,Violet Oil,Heavy Draw
Silver Oil,Violet Oil,Black Oil,Hematophagy
Opalescent Oil,Silver Oil,Teal Oil,Herbalism
Opalescent Oil,Crimson Oil,Black Oil,Hex Master
Silver Oil,Verdant Oil,Verdant Oil,High Explosives
Opalescent Oil,Violet Oil,Violet Oil,Hired Killer
Azure Oil,Azure Oil,Crimson Oil,Holy Dominion
Silver Oil,Amber Oil,Teal Oil,Holy Fire
Clear Oil,Silver Oil,Verdant Oil,Hunter's Gambit
Silver Oil,Violet Oil,Crimson Oil,Indomitable Army
Opalescent Oil,Silver Oil,Crimson Oil,Inexorable
Golden Oil,Verdant Oil,Teal Oil,Influence
Silver Oil,Silver Oil,Crimson Oil,Infused
Amber Oil,Indigo Oil,Black Oil,Infused Flesh
Golden Oil,Verdant Oil,Verdant Oil,Insightfulness
Sepia Oil,Sepia Oil,Violet Oil,Inspiring Bond
Silver Oil,Silver Oil,Verdant Oil,Instability
Sepia Oil,Sepia Oil,Azure Oil,Instinct
Amber Oil,Violet Oil,Violet Oil,Intuition
Golden Oil,Black Oil,Black Oil,Inveterate
Clear Oil,Amber Oil,Teal Oil,Ironwood
Opalescent Oil,Amber Oil,Teal Oil,Juggernaut
Amber Oil,Azure Oil,Violet Oil,Kinetic Impacts
Silver Oil,Verdant Oil,Violet Oil,King of the Hill
Clear Oil,Clear Oil,Golden Oil,Lava Lash
Opalescent Oil,Silver Oil,Violet Oil,Leadership
Silver Oil,Sepia Oil,Violet Oil,Lethality
Silver Oil,Sepia Oil,Verdant Oil,Life Raker
Azure Oil,Violet Oil,Crimson Oil,Light Eater
Violet Oil,Crimson Oil,Crimson Oil,Light of Divinity
Sepia Oil,Sepia Oil,Black Oil,Lightning Walker
Opalescent Oil,Teal Oil,Crimson Oil,Longshot
Silver Oil,Verdant Oil,Crimson Oil,Lord of the Dead
Opalescent Oil,Golden Oil,Teal Oil,Lust for Carnage
Amber Oil,Black Oil,Black Oil,Magmatic Strikes
Silver Oil,Indigo Oil,Indigo Oil,Malicious Intent
Clear Oil,Opalescent Oil,Golden Oil,Mana Flows
Sepia Oil,Indigo Oil,Crimson Oil,Mark the Prey
Silver Oil,Sepia Oil,Indigo Oil,Marked for Death
Clear Oil,Verdant Oil,Azure Oil,Martial Experience
Sepia Oil,Verdant Oil,Crimson Oil,Master Fletcher
Opalescent Oil,Golden Oil,Azure Oil,Master of Blades
Opalescent Oil,Silver Oil,Sepia Oil,Master of the Arena
Opalescent Oil,Teal Oil,Black Oil,Master Sapper
Golden Oil,Amber Oil,Black Oil,Measured Fury
Opalescent Oil,Sepia Oil,Violet Oil,Melding
Sepia Oil,Violet Oil,Black Oil,Mental Rapidity
Silver Oil,Violet Oil,Violet Oil,Merciless Skewering
Clear Oil,Amber Oil,Amber Oil,Might
Verdant Oil,Teal Oil,Teal Oil,Mind Drinker
Teal Oil,Teal Oil,Teal Oil,Mystic Bulwark
Opalescent Oil,Silver Oil,Amber Oil,Mystic Talents
Opalescent Oil,Teal Oil,Azure Oil,Mysticism
Silver Oil,Golden Oil,Sepia Oil,Natural Authority
Opalescent Oil,Silver Oil,Indigo Oil,Natural Remedies
Golden Oil,Sepia Oil,Teal Oil,Nightstalker
Amber Oil,Crimson Oil,Crimson Oil,Nimbleness
Silver Oil,Verdant Oil,Teal Oil,One with Evil
Verdant Oil,Crimson Oil,Black Oil,One With Nature
Opalescent Oil,Opalescent Oil,Teal Oil,One with the River
Silver Oil,Crimson Oil,Black Oil,Overcharge
Clear Oil,Opalescent Oil,Silver Oil,Overcharged
Clear Oil,Violet Oil,Violet Oil,Pain Forger
Opalescent Oil,Verdant Oil,Indigo Oil,Panopticon
Clear Oil,Verdant Oil,Verdant Oil,Path of the Hunter
Sepia Oil,Amber Oil,Verdant Oil,Path of the Savant
Amber Oil,Amber Oil,Amber Oil,Path of the Warrior
Clear Oil,Golden Oil,Violet Oil,Persistence
Clear Oil,Clear Oil,Teal Oil,Physique
Opalescent Oil,Silver Oil,Black Oil,Piercing Shots
Clear Oil,Amber Oil,Azure Oil,Poisonous Fangs
Opalescent Oil,Sepia Oil,Sepia Oil,Potency of Will
Indigo Oil,Indigo Oil,Indigo Oil,Powerful Bond
Clear Oil,Clear Oil,Violet Oil,Practical Application
Sepia Oil,Sepia Oil,Crimson Oil,Precision
Golden Oil,Amber Oil,Indigo Oil,Presage
Amber Oil,Verdant Oil,Crimson Oil,Primal Manifestation
Sepia Oil,Azure Oil,Black Oil,Primal Spirit
Silver Oil,Azure Oil,Violet Oil,Primeval Force
Opalescent Oil,Opalescent Oil,Sepia Oil,Prism Weave
Silver Oil,Golden Oil,Golden Oil,Prismatic Skin
Clear Oil,Azure Oil,Azure Oil,Prodigal Perfection
Silver Oil,Verdant Oil,Black Oil,Profane Chemistry
Sepia Oil,Sepia Oil,Amber Oil,Proficiency
Clear Oil,Clear Oil,Verdant Oil,Prowess
Clear Oil,Silver Oil,Black Oil,Purity of Flesh
Golden Oil,Teal Oil,Teal Oil,Quick Recovery
Amber Oil,Amber Oil,Verdant Oil,Quickstep
Amber Oil,Verdant Oil,Black Oil,Rampart
Silver Oil,Golden Oil,Verdant Oil,Ravenous Horde
Verdant Oil,Teal Oil,Violet Oil,Razor's Edge
Sepia Oil,Violet Oil,Crimson Oil,Redemption
Golden Oil,Azure Oil,Black Oil,Reflexes
Sepia Oil,Verdant Oil,Indigo Oil,Relentless
Sepia Oil,Amber Oil,Indigo Oil,Replenishing Remedies
Opalescent Oil,Opalescent Oil,Verdant Oil,Resourcefulness
Opalescent Oil,Verdant Oil,Crimson Oil,Retaliation
Clear Oil,Opalescent Oil,Crimson Oil,Retribution
Amber Oil,Violet Oil,Black Oil,Revelry
Silver Oil,Golden Oil,Black Oil,Revenge of the Hunted
Teal Oil,Black Oil,Black Oil,Ribcage Crusher
Verdant Oil,Black Oil,Black Oil,Righteous Army
Sepia Oil,Sepia Oil,Teal Oil,Righteous Decree
Clear Oil,Verdant Oil,Teal Oil,Robust
Silver Oil,Azure Oil,Crimson Oil,Runesmith
Clear Oil,Teal Oil,Teal Oil,Saboteur
Teal Oil,Azure Oil,Violet Oil,Sacrifice
Verdant Oil,Azure Oil,Black Oil,Safeguard
Azure Oil,Azure Oil,Black Oil,Sanctity
Amber Oil,Teal Oil,Teal Oil,Sanctuary
Golden Oil,Azure Oil,Azure Oil,Sanctum of Thought
Golden Oil,Teal Oil,Black Oil,Savage Wounds
Golden Oil,Crimson Oil,Black Oil,Savagery
Silver Oil,Amber Oil,Azure Oil,Searing Heat
Golden Oil,Indigo Oil,Black Oil,Season of Ice
Verdant Oil,Teal Oil,Azure Oil,Sentinel
Opalescent Oil,Azure Oil,Black Oil,Serpent Stance
Opalescent Oil,Indigo Oil,Violet Oil,Serpentine Spellslinger
Clear Oil,Silver Oil,Azure Oil,Shaman's Dominion
Sepia Oil,Amber Oil,Violet Oil,Shamanistic Fury
Clear Oil,Crimson Oil,Crimson Oil,Shaper
Amber Oil,Verdant Oil,Violet Oil,Silent Steps
Opalescent Oil,Silver Oil,Silver Oil,Skittering Runes
Clear Oil,Opalescent Oil,Black Oil,Skull Cracking
Azure Oil,Azure Oil,Azure Oil,Slaughter
Opalescent Oil,Verdant Oil,Teal Oil,Sleight of Hand
Azure Oil,Azure Oil,Violet Oil,Smashing Strikes
Golden Oil,Amber Oil,Teal Oil,Snowforged
Clear Oil,Golden Oil,Golden Oil,Soul of Steel
Amber Oil,Amber Oil,Violet Oil,Soul Siphon
Opalescent Oil,Sepia Oil,Crimson Oil,Soul Thief
Silver Oil,Silver Oil,Silver Oil,Sovereignty
Clear Oil,Sepia Oil,Teal Oil,Spiked Bulwark
Verdant Oil,Violet Oil,Violet Oil,Spinecruncher
Verdant Oil,Verdant Oil,Verdant Oil,Spirit Void
Silver Oil,Silver Oil,Golden Oil,Spiritual Aid
Golden Oil,Sepia Oil,Sepia Oil,Spiritual Command
Clear Oil,Opalescent Oil,Indigo Oil,Split Shot
Silver Oil,Black Oil,Black Oil,Stamina
Teal Oil,Violet Oil,Crimson Oil,Static Blows
Golden Oil,Golden Oil,Sepia Oil,Steadfast
Teal Oil,Teal Oil,Azure Oil,Steelwood Stance
Sepia Oil,Crimson Oil,Black Oil,Storm Weaver
Clear Oil,Opalescent Oil,Azure Oil,Strong Arm
Clear Oil,Clear Oil,Crimson Oil,Successive Detonations
Opalescent Oil,Sepia Oil,Indigo Oil,Surveillance
Golden Oil,Azure Oil,Crimson Oil,Survivalist
Silver Oil,Teal Oil,Violet Oil,Swagger
Clear Oil,Golden Oil,Amber Oil,Swift Venoms
Silver Oil,Amber Oil,Violet Oil,Taste for Blood
Silver Oil,Amber Oil,Verdant Oil,Tempest Blast
Golden Oil,Golden Oil,Crimson Oil,Tenacity
Clear Oil,Sepia Oil,Black Oil,Testudo
Silver Oil,Silver Oil,Violet Oil,Thick Skin
Clear Oil,Sepia Oil,Amber Oil,Thief's Craft
Amber Oil,Amber Oil,Teal Oil,Thrill Killer
Opalescent Oil,Amber Oil,Violet Oil,Throatseeker
Opalescent Oil,Opalescent Oil,Opalescent Oil,Tireless
Opalescent Oil,Amber Oil,Verdant Oil,Titanic Impacts
Opalescent Oil,Crimson Oil,Crimson Oil,Tolerance
Verdant Oil,Verdant Oil,Violet Oil,Totemic Zeal
Clear Oil,Amber Oil,Crimson Oil,Toxic Strikes
Golden Oil,Golden Oil,Azure Oil,Tranquility
Opalescent Oil,Silver Oil,Golden Oil,Tribal Fury
Golden Oil,Amber Oil,Violet Oil,Trick Shot
Verdant Oil,Verdant Oil,Black Oil,Trickery
Teal Oil,Crimson Oil,Black Oil,True Strike
Clear Oil,Azure Oil,Black Oil,Twin Terrors
Indigo Oil,Indigo Oil,Black Oil,Undertaker
Indigo Oil,Indigo Oil,Crimson Oil,Unfaltering
Golden Oil,Golden Oil,Verdant Oil,Unnatural Calm
Teal Oil,Violet Oil,Violet Oil,Unstable Munitions
Amber Oil,Violet Oil,Crimson Oil,Utmost Intellect
Amber Oil,Azure Oil,Crimson Oil,Utmost Might
Sepia Oil,Teal Oil,Crimson Oil,Utmost Swiftness
Amber Oil,Teal Oil,Violet Oil,Vampirism
Silver Oil,Verdant Oil,Indigo Oil,Vanquisher
Golden Oil,Golden Oil,Amber Oil,Vengeant Cascade
Opalescent Oil,Verdant Oil,Verdant Oil,Versatility
Golden Oil,Teal Oil,Indigo Oil,Veteran Soldier
Opalescent Oil,Opalescent Oil,Crimson Oil,Vigour
Clear Oil,Silver Oil,Golden Oil,Vitality Void
Silver Oil,Golden Oil,Crimson Oil,Void Barrier
Opalescent Oil,Opalescent Oil,Azure Oil,Volatile Mines
Teal Oil,Teal Oil,Crimson Oil,Wandslinger
Clear Oil,Teal Oil,Crimson Oil,Warrior Training
Teal Oil,Teal Oil,Black Oil,Warrior's Blood
Silver Oil,Silver Oil,Sepia Oil,Wasting
Silver Oil,Silver Oil,Indigo Oil,Watchtowers
Opalescent Oil,Black Oil,Black Oil,Way of the Warrior
Clear Oil,Amber Oil,Violet Oil,Weapon Artistry
Sepia Oil,Amber Oil,Teal Oil,Weathered Hunter
Amber Oil,Teal Oil,Crimson Oil,Whirling Barrier
Golden Oil,Golden Oil,Golden Oil,Whispers of Doom
Sepia Oil,Verdant Oil,Black Oil,Will of Blades
Opalescent Oil,Opalescent Oil,Indigo Oil,Window of Opportunity
Silver Oil,Sepia Oil,Teal Oil,Winter Spirit
Clear Oil,Clear Oil,Amber Oil,Wisdom of the Glade
Clear Oil,Opalescent Oil,Teal Oil,Wrecking Ball
Golden Oil,Sepia Oil,Violet Oil,Written in Blood